time,price,timeRange(seconds)
2024-02-23T22:43:35Z[UTC],11.04,468
2024-02-23T22:47:59Z[UTC],10.96,264
2024-02-23T22:49:11Z[UTC],10.99,72
2024-02-23T22:54:59Z[UTC],11.07,348
2024-02-23T22:59:23Z[UTC],11.02,264
2024-02-23T23:04:11Z[UTC],11.07,288
2024-02-23T23:16:11Z[UTC],11.00,720
2024-02-23T23:19:23Z[UTC],10.98,192
2024-02-23T23:21:11Z[UTC],11.04,108
2024-02-23T23:21:47Z[UTC],11.07,36
2024-02-23T23:23:59Z[UTC],11.11,132
2024-02-23T23:24:11Z[UTC],11.15,12
2024-02-23T23:25:35Z[UTC],11.17,84
2024-02-23T23:28:59Z[UTC],11.21,204
2024-02-23T23:29:23Z[UTC],11.38,24
2024-02-23T23:36:23Z[UTC],11.36,420
2024-02-23T23:43:11Z[UTC],11.33,408
2024-02-23T23:45:47Z[UTC],11.30,156
2024-02-23T23:49:35Z[UTC],11.35,228
2024-02-23T23:53:59Z[UTC],11.31,264
2024-02-23T23:54:35Z[UTC],11.34,36
2024-02-24T00:03:59Z[UTC],11.37,564
2024-02-24T00:05:59Z[UTC],11.33,120
2024-02-24T00:08:47Z[UTC],11.27,168
2024-02-24T00:09:23Z[UTC],11.32,36
2024-02-24T00:09:35Z[UTC],11.39,12
2024-02-24T00:09:59Z[UTC],11.43,24
2024-02-24T00:10:35Z[UTC],11.47,36
2024-02-24T00:11:35Z[UTC],11.51,60
2024-02-24T00:11:59Z[UTC],11.56,24
2024-02-24T00:12:59Z[UTC],11.61,60
2024-02-24T00:13:23Z[UTC],11.65,24
2024-02-24T00:13:59Z[UTC],11.67,36
2024-02-24T00:15:11Z[UTC],11.75,72
2024-02-24T00:16:35Z[UTC],11.67,84
2024-02-24T00:16:47Z[UTC],11.71,12
2024-02-24T00:17:59Z[UTC],11.81,72
2024-02-24T00:18:59Z[UTC],11.86,60
2024-02-24T00:19:11Z[UTC],11.87,12
2024-02-24T00:20:23Z[UTC],11.92,72
2024-02-24T00:20:47Z[UTC],11.89,24
2024-02-24T00:21:11Z[UTC],11.84,24
2024-02-24T00:21:47Z[UTC],11.88,36
2024-02-24T00:22:23Z[UTC],11.86,36
